iter	Passed	Remaining
0	190	190136
1	191	95799
2	193	64399
3	195	48644
4	197	39292
5	209	34666
6	215	30516
7	233	28910
8	236	26079
9	250	24846
10	252	22729
11	254	20946
12	262	19942
13	265	18721
14	268	17638
15	271	16688
16	273	15839
17	280	15276
18	284	14688
19	285	13994
20	287	13398
21	306	13636
22	323	13760
23	329	13413
24	337	13170
25	342	12818
26	350	12613
27	356	12383
28	364	12197
29	367	11887
30	373	11660
31	376	11376
32	378	11080
33	381	10851
34	383	10580
35	386	10341
36	392	10224
37	399	10118
38	528	13013
39	530	12727
40	531	12437
41	533	12177
42	593	13219
43	602	13080
44	605	12850
45	610	12656
46	613	12436
47	617	12252
48	621	12062
49	624	11859
50	625	11630
51	626	11427
52	629	11239
53	631	11060
54	642	11046
55	645	10876
56	647	10707
57	649	10551
58	654	10438
59	658	10312
60	659	10157
61	684	10360
62	687	10219
63	689	10090
64	691	9948
65	693	9809
66	693	9663
67	697	9563
68	700	9450
69	702	9339
70	704	9219
71	717	9242
72	723	9188
73	726	9089
74	729	9002
75	732	8909
76	773	9277
77	775	9164
78	780	9097
79	783	9004
80	785	8907
81	789	8838
82	791	8742
83	793	8649
84	794	8550
85	798	8487
86	800	8399
87	803	8331
88	821	8408
89	829	8388
90	835	8346
91	839	8289
92	870	8487
93	872	8408
94	875	8336
95	876	8256
96	879	8183
97	882	8118
98	883	8042
99	930	8376
100	936	8338
101	940	8279
102	944	8225
103	947	8158
104	948	8082
105	953	8041
106	956	7982
107	958	7917
108	961	7857
109	972	7865
110	975	7814
111	1051	8338
112	1055	8281
113	1057	8216
114	1059	8156
115	1062	8098
116	1064	8031
117	1065	7966
118	1067	7902
119	1069	7846
120	1077	7826
121	1086	7822
122	1089	7766
123	1093	7723
124	1108	7762
125	1124	7798
126	1129	7765
127	1132	7717
128	1134	7661
129	1137	7614
130	1139	7560
131	1142	7514
132	1144	7462
133	1146	7408
134	1152	7381
135	1166	7409
136	1167	7356
137	1169	7302
138	1177	7291
139	1179	7243
140	1181	7200
141	1198	7240
142	1206	7231
143	1215	7224
144	1225	7225
145	1227	7182
146	1234	7161
147	1243	7158
148	1246	7120
149	1250	7083
150	1256	7062
151	1259	7025
152	1260	6979
153	1266	6958
154	1268	6916
155	1275	6898
156	1287	6914
157	1296	6909
158	1299	6873
159	1301	6832
160	1311	6834
161	1313	6795
162	1327	6816
163	1336	6814
164	1341	6786
165	1344	6754
166	1347	6719
167	1356	6715
168	1359	6686
169	1362	6650
170	1365	6617
171	1367	6584
172	1374	6568
173	1375	6529
174	1377	6494
175	1386	6491
176	1389	6459
177	1391	6424
178	1392	6387
179	1395	6358
180	1402	6346
181	1407	6326
182	1409	6293
183	1419	6295
184	1421	6263
185	1427	6245
186	1429	6214
187	1432	6185
188	1435	6157
189	1438	6131
190	1440	6101
191	1443	6076
192	1454	6083
